vendor_name,year_month,monthly_spend
"Duran, Morgan andl Loper, COMMERCIAL INVOIC",2001-08-01,453.15
fut-Bryan,2001-08-01,8.08
"Parker, Phillips and Thomas",2001-08-01,6.78
"Rogers, Olson and Sanders",2001-08-01,6.0
TAX INVOICE A\,2001-08-01,6.0
Yoder Luc,2001-08-01,3.0
INVOICE LN |,2001-09-01,746.5
TAX INVOICE,2001-09-01,631.1800000000001
S TAX INVOICE,2001-09-01,92.32
INVOICE,2001-09-01,69.37
COMMERCIAL INVOICE,2001-09-01,31.0
"Parker, Phillips and Thomas",2001-09-01,30.48
co TAX INVOICE,2001-09-01,3.0
INVOICE # 3623-506,2001-09-01,2.96
yy Date: 09-Oct-2001,2001-10-01,757.13
COMMERCIAL INVOICE,2001-10-01,650.48
TAX INVOICE,2001-10-01,426.8
A Invoice Date: 25-Oct-2001,2001-10-01,124.37
TAX INVOICE ©,2001-10-01,86.54
"""am NO",2001-10-01,81.43
INVOICE ©,2001-10-01,58.97
INVOICE,2001-10-01,33.58
Invoice number INVi4-107364,2001-10-01,11.17
=) UJ,2001-10-01,5.04
COMMERCIAL INVOICE INVOICE # 4Y9M2d-046,2001-10-01,5.0
COMMERCIAL INVOICE A\,2001-10-01,4.0
INVOICE Invoice number 6570-710,2001-10-01,3.0
COMMERCIAL INVOICE ©,2001-10-01,0.0
Date: 25-Nov-2001 Aevolon nienber INVITO-SEES,2001-11-01,1470.58
Huft-Bryan,2001-11-01,866.38
"Duran, Morgan andl Loper, COMMERCIAL INVOIC",2001-11-01,690.4
INVOICE,2001-11-01,637.3499999999999
Yoder LLC,2001-11-01,84.94
y| LCO |,2001-11-01,34.82
TAX INVOICE,2001-11-01,6.0
COMMERCIAL INVOICE,2001-11-01,5.0
"Rogers, Olson and Sanders",2001-11-01,5.0
Jensen Group. INVOICE,2001-11-01,4.0
Invoice number 3583-127,2001-11-01,1.0
Huft-Bryan,2001-12-01,595.55
COMMERCIAL INVOICE,2001-12-01,332.77
A Invoice Date: 30-Dec-2001,2001-12-01,228.9
INVOICE,2001-12-01,83.13
TAX INVOICE,2001-12-01,24.29
Invoice Date: 28-Dec-2001,2001-12-01,6.0
=) a,2001-12-01,5.0
INVOICE ©,2001-12-01,0.0
fut-Bryan,2002-01-01,773.38
TAX INVOICE,2002-01-01,528.85
COMMERCIAL INVOICE,2002-01-01,413.94
"Duran, Morgan andl Loper, COMMERCIAL INVOIC",2002-01-01,306.62
INVOICE,2002-01-01,112.00999999999999
"Parker, Phillips and Thomas",2002-01-01,41.82
COMMERCIAL INVOICE A\,2002-01-01,3.0
TAX INVOICE ©,2002-01-01,0.0
A Date: 02-Feb-2002,2002-02-01,649.89
INVOICE LN |,2002-02-01,521.9
INVOICE,2002-02-01,469.63
fut-Bryan,2002-02-01,323.99
INVOICE A\,2002-02-01,141.12
Ba.,2002-02-01,111.68
Address:4894 Melanie Pass Apt. 742,2002-02-01,90.74
"Rogers, Olson and Sanders",2002-02-01,76.98
S TAX INVOICE,2002-02-01,66.53
Bill to:Erica Norton,2002-02-01,65.84
"Duran, Morgan and Loper TAX INVOICE",2002-02-01,53.47
TAX INVOICE,2002-02-01,47.49
INVOICE 10 IWvS1359039,2002-02-01,8.73
COMMERCIAL INVOICE,2002-02-01,4.0
——,2002-02-01,4.0
Invoice Date: 20-Feb-2002,2002-02-01,3.0
ss,2002-02-01,2.0
Date: 07-Mar-2002,2002-03-01,755.45
TAX INVOICE,2002-03-01,503.34
Sy Date: 12-Mar-2002,2002-03-01,266.48
COMMERCIAL INVOICE,2002-03-01,56.29
"Parker, Phillips and Thomas",2002-03-01,15.59
INVOICE,2002-03-01,15.46
ss,2002-03-01,6.0
INVOICE ID 9Y2M3d-680,2002-03-01,5.0
INVOICE ID INVI51-69/452,2002-03-01,5.0
co TAX INVOICE,2002-03-01,3.0
INVOICE 1D 7071-792,2002-03-01,2.0
Ba.,2002-04-01,948.97
COMMERCIAL INVOICE,2002-04-01,622.64
ZEON,2002-04-01,619.88
Huft-Bryan,2002-04-01,591.6
INVOICE,2002-04-01,450.51
Huf-Bryan,2002-04-01,441.91
"Duran, Morgan andl Loper, COMMERCIAL INVOIC",2002-04-01,305.09
co COMMERCIAL INVOICE,2002-04-01,96.36
TAX INVOICE,2002-04-01,47.99
Bill to:Gabriel Rojas,2002-04-01,43.5
"""am NO",2002-04-01,8.05
WA Date: 30-Apr-2002,2002-04-01,7.0
"Parker, Phillips and Thomas",2002-04-01,6.7
INVOICE A\,2002-04-01,6.0
"Rogers, Olson and Sanders",2002-04-01,6.0
COMMERCIAL INVOICE INVOICE # INV/64-61/340,2002-04-01,2.0
INVOICE 1D INVi60-41/232,2002-04-01,2.0
ss,2002-04-01,2.0
Huft-Bryan,2002-05-01,677.72
yy Date: 18-May-2002,2002-05-01,398.58
COMMERCIAL INVOICE,2002-05-01,240.92
"Parker, Phillips and Thomas",2002-05-01,89.13
"""am NO",2002-05-01,49.93
Robinson-Carson 62 96 e,2002-05-01,37.67
TAX INVOICE,2002-05-01,36.06
COMMERCIAL INVOICE A\,2002-05-01,20.93
INVOICE,2002-05-01,20.439999999999998
Date: 08-May-2002,2002-05-01,4.0
—,2002-05-01,4.0
Address:4894 Melanie Pass Apt. 742,2002-05-01,0.0
TAX INVOICE,2002-06-01,710.25
INVOICE,2002-06-01,337.03000000000003
Invoice number SYaMed-304,2002-06-01,35.82
S TAX INVOICE,2002-06-01,31.97
Jensen Group. INVOICE,2002-06-01,29.15
Invoice number 2354-008,2002-06-01,27.5
| LCO jj,2002-06-01,5.48
COMMERCIAL INVOICE,2002-06-01,5.0
=) UJ,2002-06-01,1.0
COMMERCIAL INVOICE,2002-07-01,1452.31
uy Date: 31-Jul-2002,2002-07-01,1342.45
TAX INVOICE EN,2002-07-01,626.25
=) UJ,2002-07-01,584.99
Huft-Bryan,2002-07-01,539.73
Sy Date: 02-Jul-2002,2002-07-01,200.66
Address:4894 Melanie Pass Apt. 742,2002-07-01,198.0
INVOICE,2002-07-01,148.49
Bill to:Dana Gomez,2002-07-01,78.46
Buyer ‘Nicole Lara,2002-07-01,76.43
| LCO jj,2002-07-01,72.99
Yoder LLC,2002-07-01,69.59
Bill to:Brenda Brown,2002-07-01,60.57
S TAX INVOICE,2002-07-01,55.58
TAX INVOICE,2002-07-01,33.09
"Rogers, Olson and Sanders",2002-07-01,3.0
COMMERCIAL INVOICE INVOICE # INV/60-21/800,2002-07-01,1.0
COMMERCIAL INVOICE,2002-08-01,684.55
SB Invoice Date: 17-Aug-2002,2002-08-01,398.28
TAX INVOICE,2002-08-01,268.71999999999997
S TAX INVOICE,2002-08-01,64.8
Robinson-Carson 62 96 e,2002-08-01,63.12
"""am NO",2002-08-01,48.43
=) UJ,2002-08-01,33.01
INVOICE,2002-08-01,27.990000000000002
ss,2002-08-01,26.85
co COMMERCIAL INVOICE,2002-08-01,3.0
INVOICE A\,2002-08-01,2.0
Invoice Date: 10-Aug-2002,2002-08-01,2.0
Huff-Bryan,2002-09-01,1460.3
A Invoice Date: 15-Sep-2002,2002-09-01,424.6
TAX INVOICE,2002-09-01,183.07
INVOICE,2002-09-01,166.69
"Rogers, Olson and Sanders",2002-09-01,89.96
"Parker, Phillips and Thomas",2002-09-01,85.01
Buyer :Leonard David,2002-09-01,67.29
"""am NO",2002-09-01,58.98
Invoice Date: 30-Sep-2002,2002-09-01,6.0
TAX INVOICE Invoice number INV85316221,2002-09-01,6.0
COMMERCIAL INVOICE,2002-09-01,5.0
INVOICE 1D INV76524715,2002-09-01,4.0
Invoice number INV/96-501325,2002-09-01,4.0
COMMERCIAL INVOICE INVOICE # 4Y3M6d-390,2002-09-01,3.0
co TAX INVOICE,2002-09-01,3.0
=) a,2002-09-01,2.0
ss,2002-09-01,2.0
Huft-Bryan,2002-09-01,1.0
Invoice Date: 20-Sep-2002,2002-09-01,1.0
INVOICE ©,2002-09-01,0.0
INVOICE,2002-10-01,955.9
Invoice Date: 09-Oct-2002,2002-10-01,946.9
_=,2002-10-01,663.51
Ba.,2002-10-01,428.81
BSS,2002-10-01,217.89
=) UJ,2002-10-01,80.2
TAX INVOICE,2002-10-01,8.190000000000001
COMMERCIAL INVOICE,2002-10-01,2.0
Address:4894 Melanie Pass Apt. 742,2002-10-01,0.0
TAX INVOICE,2002-11-01,1338.35
Huff-Bryan,2002-11-01,828.0
Robinson-Carson 62 96 e,2002-11-01,795.08
=) UJ,2002-11-01,82.59
S TAX INVOICE,2002-11-01,66.72
Jensen Group. INVOICE,2002-11-01,50.5
INVOICE 10 INva5128408,2002-11-01,14.37
COMMERCIAL INVOICE,2002-11-01,12.0
Invoice number INVI84-61/809,2002-11-01,6.0
INVOICE,2002-11-01,4.0
Invoice Date: 22-Nov-2002,2002-11-01,4.0
Invoice number 8Y4M 76-545,2002-11-01,4.0
"Rogers, Olson and Sanders",2002-11-01,4.0
INVOICE A\,2002-11-01,3.0
INVOICE ID 3Y5Mad-770,2002-11-01,3.0
Date: 29-Nov-2002,2002-11-01,0.8
INVOICE ©,2002-11-01,0.0
Huff-Bryan,2002-12-01,165.52
COMMERCIAL INVOICE,2002-12-01,112.06
BSS,2002-12-01,111.45
Yoder Luc,2002-12-01,28.37
Date: 08-Dec-2002,2002-12-01,20.01
TAX INVOICE,2002-12-01,12.02
TAX INVOICE A\,2002-12-01,6.0
INVOICE,2002-12-01,5.98
INVOICE INVOICE # INV23101810,2002-12-01,5.0
"Rogers, Olson and Sanders",2002-12-01,5.0
=) a,2002-12-01,1.0
TAX INVOICE,2003-01-01,50443.97
INVOICE,2003-01-01,128.94
INVOICE ID 1Y5M2d-754,2003-01-01,97.53
Buyer :Andrew Long,2003-01-01,68.49
"""am NO",2003-01-01,65.97
INVOICE ©,2003-01-01,30.28
25259 Nelson Oval,2003-01-01,21.65
COMMERCIAL INVOICE,2003-01-01,18.59
Invoice number 4Y7M54-226,2003-01-01,7.9
COMMERCIAL INVOICE A\,2003-01-01,4.0
——,2003-01-01,1.0
tut Bryan,2003-02-01,780.35
Date: 14-Feb-2003 IVOIRE STR Sa,2003-02-01,680.08
Ba.,2003-02-01,526.26
INVOICE,2003-02-01,461.72
"Parker, Phillips and Thomas",2003-02-01,333.2
TAX INVOICE,2003-02-01,145.74
"Duran, Morgan and Loper TAX INVOICE",2003-02-01,137.19
S INVOICE,2003-02-01,96.28
=) UJ,2003-02-01,90.89
Address:4894 Melanie Pass Apt. 742,2003-02-01,38.59
| LCO jj,2003-02-01,15.66
COMMERCIAL INVOICE,2003-02-01,8.0
Date: 08-Feb-2003,2003-02-01,6.0
INVOICE 1D INVi00-601138,2003-02-01,6.0
COMMERCIAL INVOICE A\,2003-02-01,5.0
"Rogers, Olson and Sanders",2003-02-01,1.0
INVOICE ©,2003-02-01,0.0
TAX INVOICE,2003-03-01,240.92000000000002
Date: 18-Mar-2003.,2003-03-01,194.6
"""am NO",2003-03-01,106.84
"Rogers, Olson and Sanders",2003-03-01,6.0
TAX INVOICE A\,2003-03-01,6.0
COMMERCIAL INVOICE INVOICE ID INV/99-48/366.,2003-03-01,4.0
"Duran, Morgan and Loper INVOICE",2003-03-01,3.12
COMMERCIAL INVOICE,2003-03-01,3.0
INVOICE,2003-03-01,2.0
COMMERCIAL INVOICE,2003-04-01,1022.63
tut Bryan,2003-04-01,954.76
"Duran, Morgan andl Loper, COMMERCIAL INVOIC",2003-04-01,788.95
"Parker, Phillips and Thomas",2003-04-01,99.13
TAX INVOICE,2003-04-01,35.0
INVOICE,2003-04-01,30.87
Invoice number 9YaMed-581,2003-04-01,11.0
ss,2003-04-01,5.0
TAX INVOICE Invoice number 6Y5M6d-567,2003-04-01,4.0
co COMMERCIAL INVOICE,2003-04-01,1.0
COMMERCIAL INVOICE,2003-05-01,747.41
"Duran, Morgan and Loper INVOICE",2003-05-01,191.32
"Parker, Phillips and Thomas",2003-05-01,35.64
INVOICE,2003-05-01,14.0
=,2003-05-01,10.02
Yoder LLC,2003-05-01,8.04
COMMERCIAL INVOICE Invoice number INV22737871,2003-05-01,6.0
TAX INVOICE,2003-05-01,5.0
"Rogers, Olson and Sanders",2003-05-01,4.0
INVOICE # 6606-168,2003-05-01,3.59
ss,2003-05-01,3.0
INVOICE ID 4Y¥aM6d-890,2003-05-01,2.25
COMMERCIAL INVOICE,2003-06-01,1148.59
TAX INVOICE,2003-06-01,193.96
INVOICE,2003-06-01,140.24
Jensen Group. INVOICE,2003-06-01,99.56
H|| LCO jj,2003-06-01,87.77
TAX INVOICE ©,2003-06-01,22.21
Sy Date: 07-Jun-2003,2003-06-01,0.08
Address:4894 Melanie Pass Apt. 742,2003-06-01,0.0
"Duran, Morgan andl Loper, COMMERCIAL INVOIC",2003-07-01,727.97
INVOICE,2003-07-01,370.47
TAX INVOICE,2003-07-01,341.12
"Parker, Phillips and Thomas",2003-07-01,250.99
TAX INVOICE ©,2003-07-01,68.92
INVOICE 1D 3YeMGd-385,2003-07-01,33.09
=) a,2003-07-01,6.0
ss,2003-07-01,6.0
INVOICE 1D 7541-805,2003-07-01,4.76
COMMERCIAL INVOICE,2003-07-01,2.0
Huff-Bryan,2003-08-01,907.87
"Duran, Morgan andl Loper, COMMERCIAL INVOIC",2003-08-01,617.96
INVOICE,2003-08-01,406.77
"Graham, Carrio and Stark",2003-08-01,206.5
=) UJ,2003-08-01,85.59
TAX INVOICE,2003-08-01,37.67
Yoder Luc,2003-08-01,23.73
"Parker, Phillips and Thomas",2003-08-01,20.53
=) a,2003-08-01,5.0
COMMERCIAL INVOICE,2003-08-01,4.87
"Rogers, Olson and Sanders",2003-08-01,2.0
as,2003-08-01,2.0
INVOICE ID INV57363105,2003-08-01,1.32
Address:4894 Melanie Pass Apt. 742,2003-08-01,0.0
INVOICE,2003-09-01,1292.8200000000002
TAX INVOICE,2003-09-01,330.52
"LTA Invoice Date: 09-Sep-2003,",2003-09-01,243.7
"Duran, Morgan and Loper INVOICE",2003-09-01,162.91
Sinan andliapar INVOICE,2003-09-01,131.72
S TAX INVOICE,2003-09-01,85.62
COMMERCIAL INVOICE,2003-09-01,61.42999999999999
INVOICE 10 INVI6-981072,2003-09-01,7.46
COMMERCIAL INVOICE INVOICE # INV/57-64/059,2003-09-01,6.0
as,2003-09-01,6.0
Invoice number INV71595851,2003-09-01,4.01
ss,2003-09-01,3.0
"Rogers, Olson and Sanders",2003-09-01,2.0
Address:4894 Melanie Pass Apt. 742,2003-09-01,0.0
COMMERCIAL INVOICE,2003-10-01,2464.54
INVOICE,2003-10-01,1209.69
A Date: 23-Oct-2003,2003-10-01,421.09
Bill to:Stephanie Miler,2003-10-01,89.68
| LCO jj,2003-10-01,40.54
TAX INVOICE,2003-10-01,9.73
ss,2003-10-01,4.0
Address:4894 Melanie Pass Apt. 742,2003-10-01,0.0
Hutt-Bryan,2003-11-01,1379.19
COMMERCIAL INVOICE,2003-11-01,652.25
Huff-Bryan,2003-11-01,379.38
INVOICE,2003-11-01,192.97
597 Stone Stream Suite 690,2003-11-01,44.66
TAX INVOICE,2003-11-01,23.0
=,2003-11-01,6.0
"Rogers, Olson and Sanders",2003-11-01,4.0
"TAX INVOICE INVOICE ID INV/46-62/395,",2003-12-01,712.91
Huft-Bryan,2003-12-01,695.04
TAX INVOICE,2003-12-01,591.55
Date: 08-Dec-2003,2003-12-01,558.55
Address:4894 Melanie Pass Apt. 742,2003-12-01,295.64
Invoice number 2392-280,2003-12-01,79.96
INVOICE,2003-12-01,11.0
ss,2003-12-01,10.0
COMMERCIAL INVOICE,2003-12-01,5.0
Date: 21-Dec-2003,2003-12-01,4.0
INVOICE # iNvi62-31/382,2003-12-01,4.0
=) a,2003-12-01,3.0
Yoder Luc,2004-01-01,772.9
TAX INVOICE,2004-01-01,530.01
S COMMERCIAL INVOICE,2004-01-01,48.43
COMMERCIAL INVOICE,2004-01-01,38.49
S TAX INVOICE,2004-01-01,37.89
| LCO jj,2004-01-01,37.73
"""am NO",2004-01-01,37.51
Buyer :Michael Hodge,2004-01-01,25.04
INVOICE,2004-01-01,8.0
Jensen Group. INVOICE,2004-01-01,6.0
"Rogers, Olson and Sanders",2004-01-01,6.0
INVOICE A\,2004-01-01,4.0
=) a,2004-01-01,3.0
Invoice Date: 18-Jan-2004,2004-01-01,2.0
TAX INVOICE A\,2004-01-01,2.0
TAX INVOICE,2004-02-01,411.90999999999997
COMMERCIAL INVOICE,2004-02-01,168.78
Buyer :Lance Franco,2004-02-01,58.8
Bill to:Robin Thomas,2004-02-01,36.84
"Parker, Phillips and Thomas",2004-02-01,28.7
INVOICE ID INVS2903851,2004-02-01,22.94
TAX INVOICE A\,2004-02-01,6.0
"Rogers, Olson and Sanders",2004-02-01,5.0
INVOICE # 6608-592,2004-02-01,2.0
TAX INVOICE,2004-03-01,1035.4
Uy Date: 18-Mar-2004,2004-03-01,893.96
Yoder Luc,2004-03-01,113.06
INVOICE,2004-03-01,102.28
TAX INVOICE A\,2004-03-01,89.38
COMMERCIAL INVOICE ©,2004-03-01,86.9
S TAX INVOICE,2004-03-01,75.26
COMMERCIAL INVOICE,2004-03-01,73.59
"""am NO",2004-03-01,33.45
Jensen Group. INVOICE,2004-03-01,29.96
882 Cline Courts,2004-03-01,22.54
INVOICE A\,2004-03-01,5.0
Huft-Bryan,2004-04-01,1117.48
INVOICE,2004-04-01,241.73
ZEON,2004-04-01,235.72
COMMERCIAL INVOICE ©,2004-04-01,51.91
Bill to:Brittany Mecormick,2004-04-01,4.0
Date: 12-Apr-2004,2004-04-01,4.0
TAX INVOICE,2004-04-01,4.0
INVOICE # vas 81084,2004-04-01,1.0
COMMERCIAL INVOICE,2004-05-01,1023.48
Invoice Date: 15-May-2004,2004-05-01,429.53
Jensen Group. INVOICE,2004-05-01,96.9
| LCO jj,2004-05-01,77.83
Yoder Luc,2004-05-01,47.58
24 Sth Vista Suite 082,2004-05-01,29.05
"Duran, Morgan andl Loper, COMMERCIAL INVOIC",2004-05-01,19.95
INVOICE,2004-05-01,15.0
Buyer ‘Sarah Patel,2004-05-01,7.51
Date: 23-May-2004,2004-05-01,6.0
INVOICE Invoice number INV36652871,2004-05-01,6.0
"Rogers, Olson and Sanders",2004-05-01,6.0
co COMMERCIAL INVOICE,2004-05-01,3.0
INVOICE ©,2004-05-01,0.0
TAX INVOICE ©,2004-05-01,0.0
TAX INVOICE,2004-06-01,1166.17
Huft-Bryan,2004-06-01,1070.6399999999999
Sy Date: 23-Jun-2004,2004-06-01,835.62
BSS,2004-06-01,270.24
COMMERCIAL INVOICE,2004-06-01,234.81
{5216 Bishop function Suite 210,2004-06-01,79.07
INVOICE,2004-06-01,66.3
"""am NO",2004-06-01,55.09
Address:4894 Melanie Pass Apt. 742,2004-06-01,50.9
LS,2004-06-01,39.37
Robinson-Carson 62 96 e,2004-06-01,19.68
INVOICE # INVIS3-81/123,2004-06-01,3.74
"Rogers, Olson and Sanders",2004-06-01,1.0
Ba.,2004-07-01,342.09
INVOICE,2004-07-01,306.97
Bill to;Warren Hill,2004-07-01,88.64
"Parker, Phillips and Thomas",2004-07-01,77.7
"""am NO",2004-07-01,68.41
=) a,2004-07-01,59.69
TAX INVOICE ©,2004-07-01,50.0
Address:4894 Melanie Pass Apt. 742,2004-07-01,48.66
TAX INVOICE,2004-07-01,35.97
Invoice number INV40543631,2004-07-01,18.45
COMMERCIAL INVOICE,2004-07-01,8.0
co TAX INVOICE,2004-07-01,2.18
INVOICE A\,2004-07-01,2.0
"Rogers, Olson and Sanders",2004-07-01,2.0
=) UJ,2004-07-01,1.0
Huff-Bryan,2004-08-01,1551.58
TAX INVOICE,2004-08-01,1138.77
INVOICE,2004-08-01,737.6800000000001
COMMERCIAL INVOICE,2004-08-01,275.22
"Duran, Morgan and Loper TAX INVOICE",2004-08-01,187.14
=,2004-08-01,104.78
Robinson-Carson 62 96 e,2004-08-01,96.83
Bill to:Diane Fry,2004-08-01,46.88
Buyer :Mrs. Heather Davis,2004-08-01,29.93
=) a,2004-08-01,6.0
Date: 27-Aug-2004,2004-08-01,6.0
COMMERCIAL INVOICE ©,2004-08-01,4.0
Address:4894 Melanie Pass Apt. 742,2004-08-01,0.0
TAX INVOICE,2004-09-01,930.16
INVOICE,2004-09-01,829.74
COMMERCIAL INVOICE,2004-09-01,797.73
"Duran, Morgan and Loper INVOICE",2004-09-01,148.65
"Duran, Morgan and Loper TAX INVOICE",2004-09-01,97.83
=) UJ,2004-09-01,63.25
COMMERCIAL INVOICE A\,2004-09-01,61.92
520 Same! Pains,2004-09-01,61.82
co TAX INVOICE,2004-09-01,60.53
"Rogers, Olson and Sanders",2004-09-01,54.48
"Parker, Phillips and Thomas",2004-09-01,18.1
ss,2004-09-01,4.0
TAX INVOICE INVOICE ID INV/12-94/903.,2004-09-01,3.0
Address:4894 Melanie Pass Apt. 742,2004-09-01,0.0
BSS,2004-10-01,799.84
Ba.,2004-10-01,469.56
INVOICE,2004-10-01,209.25
TAX INVOICE,2004-10-01,143.56
=) UJ,2004-10-01,135.87
| LCO jj,2004-10-01,93.29
COMMERCIAL INVOICE ©,2004-10-01,46.18
Jensen Group. INVOICE,2004-10-01,6.0
INVOICE # 1446-100,2004-10-01,4.0
Invoice Date: 04-Oct-2004,2004-10-01,1.0
INVOICE,2004-11-01,967.1800000000001
TAX INVOICE,2004-11-01,824.0300000000001
"Parker, Phillips and Thomas",2004-11-01,405.99
Huff-Bryan,2004-11-01,208.93
"Rogers, Olson and Sanders",2004-11-01,68.32
COMMERCIAL INVOICE,2004-11-01,59.72
Robinson-Carson 62 96 e,2004-11-01,17.83
=) UJ,2004-11-01,7.93
Invoice number 3419-648,2004-11-01,3.75
COMMERCIAL INVOICE,2004-12-01,643.8
Yoder Luc,2004-12-01,509.54999999999995
TAX INVOICE,2004-12-01,373.52
INVOICE,2004-12-01,118.96
y| LCO |,2004-12-01,99.6
Bill to:Kevin Peck IV,2004-12-01,74.73
TAX INVOICE ©,2004-12-01,51.85
"Parker, Phillips and Thomas",2004-12-01,33.59
co TAX INVOICE,2004-12-01,11.18
"Rogers, Olson and Sanders",2004-12-01,6.0
INVOICE 10 2¥sMad-170,2004-12-01,5.0
Address:4894 Melanie Pass Apt. 742,2004-12-01,0.0
COMMERCIAL INVOICE ©,2004-12-01,0.0
Address:4894 Melanie Pass Apt. 742,2005-01-01,974.27
Huft-Bryan,2005-01-01,457.44
INVOICE,2005-01-01,284.46999999999997
COMMERCIAL INVOICE,2005-01-01,152.37
8539 Katelyn Spring Suite 580,2005-01-01,90.54
Robinson-Carson 62 96 e,2005-01-01,87.83
TAX INVOICE,2005-01-01,38.82
Buyer :kimberly Thompson,2005-01-01,25.43
Yoder Luc,2005-01-01,6.0
TAX INVOICE A\,2005-01-01,5.0
——,2005-01-01,2.0
—,2005-01-01,1.0
TAX INVOICE,2005-02-01,1511.06
COMMERCIAL INVOICE,2005-02-01,157.42
INVOICE,2005-02-01,120.71
S TAX INVOICE,2005-02-01,99.62
=) UJ,2005-02-01,83.33
Ba.,2005-02-01,30.21
co TAX INVOICE,2005-02-01,25.2
TAX INVOICE INVOICE ID 6Y1M1d-181,2005-02-01,5.0
Address:4894 Melanie Pass Apt. 742,2005-02-01,0.0
Huft-Bryan,2005-03-01,989.59
BSS,2005-03-01,508.61
INVOICE,2005-03-01,475.6
COMMERCIAL INVOICE,2005-03-01,375.93
=) UJ,2005-03-01,99.15
Date: 16-Mar-2005,2005-03-01,78.0
TAX INVOICE,2005-03-01,9.96
A Invoice Date: 01-Mar-2005,2005-03-01,6.39
Date: 06-Mar-2005,2005-03-01,5.0
COMMERCIAL INVOICE A\,2005-03-01,4.0
Robinson-Carson 62 96 e,2005-03-01,3.69
as,2005-03-01,1.0
SA Invoice Date: 19-Apr-2005,2005-04-01,495.75
LTA Invoice Date: 26-Apr-2005,2005-04-01,320.74
COMMERCIAL INVOICE ©,2005-04-01,137.4
"Duran, Morgan and Loper INVOICE",2005-04-01,85.82
Yoder Luc,2005-04-01,83.23
COMMERCIAL INVOICE,2005-04-01,66.17
=) UJ,2005-04-01,20.95
TAX INVOICE,2005-04-01,8.0
INVOICE,2005-04-01,5.07
tut Bryan,2005-04-01,5.0
—,2005-04-01,5.0
Invoice number INVO1449166,2005-04-01,4.96
INVOICE ID INV72235097,2005-04-01,4.0
TAX INVOICE A\,2005-04-01,2.0
TAX INVOICE ©,2005-04-01,0.0
BSS,2005-05-01,1307.91
Invoice Date: 21-May-2005,2005-05-01,1059.14
"Duran, Morgan andl Loper, COMMERCIAL INVOIC",2005-05-01,617.3
i,2005-05-01,306.54
INVOICE,2005-05-01,217.67000000000002
"Parker, Phillips and Thomas",2005-05-01,111.41
TAX INVOICE,2005-05-01,81.53
"""am NO",2005-05-01,13.81
TAX INVOICE A\,2005-05-01,6.0
COMMERCIAL INVOICE,2005-05-01,5.0
Invoice Date: 22-May-2005,2005-05-01,4.0
INVOICE 10 INVA8- 981036,2005-05-01,2.19
"Invoice number 8Y4M5d-685,",2005-05-01,2.0
INVOICE LN |,2005-05-01,1.71
COMMERCIAL INVOICE ©,2005-05-01,0.0
TAX INVOICE,2005-06-01,460.21
Address:4894 Melanie Pass Apt. 742,2005-06-01,261.12
INVOICE,2005-06-01,197.03
INVOICE 1D 4YeMT7¢-719,2005-06-01,183.4
S COMMERCIAL INVOICE,2005-06-01,99.46
y| LCO |,2005-06-01,98.38
"Parker, Phillips and Thomas",2005-06-01,82.46
"""am NO",2005-06-01,38.91
Buyer :Nicole Kaufman,2005-06-01,31.36
Date: 15-Jun-2005,2005-06-01,4.0
COMMERCIAL INVOICE,2005-06-01,2.0
ss,2005-06-01,1.0
COMMERCIAL INVOICE,2005-07-01,1394.77
COMMERCIAL INV,2005-07-01,1162.2
TAX INVOICE,2005-07-01,983.98
INVOICE,2005-07-01,339.19
SA Invoice Date: 11-Jul-2005,2005-07-01,142.3
COMMERCIAL INVOICE ©,2005-07-01,57.98
"Parker, Phillips and Thomas",2005-07-01,52.17
Robinson-Carson 62 96 e,2005-07-01,44.9
Buyer :Susan Boyd,2005-07-01,25.02
Yoder LLC,2005-07-01,21.66
=) a,2005-07-01,5.0
ss,2005-07-01,5.0
COMMERCIAL INVOICE INVOICE ID 3¥8M3d-843,2005-07-01,2.0
"Rogers, Olson and Sanders",2005-07-01,2.0
Address:4894 Melanie Pass Apt. 742,2005-07-01,0.0
TAX INVOICE ©,2005-07-01,0.0
TAX INVOICE,2005-08-01,1186.12
BSS,2005-08-01,1101.23
INVOICE,2005-08-01,559.84
=) UJ,2005-08-01,64.37
COMMERCIAL INVOICE,2005-08-01,43.78
"Parker, Phillips and Thomas",2005-08-01,12.23
INVOICE # INvi16-20/297,2005-08-01,6.0
INVOICE,2005-09-01,193.42
TAX INVOICE,2005-09-01,105.75
Ba.,2005-09-01,57.08
Date: 10-Sep-2005,2005-09-01,6.0
ss,2005-09-01,6.0
COMMERCIAL INVOICE INVOICE ID INV/74-51/051,2005-09-01,5.0
INVOICE INVOICE ID INV71339876,2005-09-01,4.0
Invoice Date: 11-Sep-2005,2005-09-01,3.0
COMMERCIAL INVOICE,2005-09-01,2.0
co TAX INVOICE,2005-09-01,1.0
Address:4894 Melanie Pass Apt. 742,2005-09-01,0.0
"Duran, Morgan andl Loper, COMMERCIAL INVOIC",2005-10-01,1140.02
COMMERCIAL INVOICE,2005-10-01,846.0
Hutt-Bryan,2005-10-01,455.59
INVOICE,2005-10-01,182.71
S INVOICE,2005-10-01,87.49
=) UJ,2005-10-01,18.78
143 Tracey Squares Suite 230,2005-10-01,14.91
TAX INVOICE,2005-10-01,9.0
INVOICE A\,2005-10-01,6.0
=) a,2005-10-01,5.0
Invoice number 2¥8M2d-232,2005-10-01,4.0
Invoice Date: 03-Oct-2005,2005-10-01,3.0
